Sl,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Total Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
60,Nigeria,"5,621",,176 ,,"1,472","3,973",7,27,0.9,"32,942",160, 
61,Oman,"5,186",+157,22 ,+1,"1,465","3,699",31,"1,019",4,"61,000","11,986", 
62,Armenia,"4,472",+189,60 ,+5,"1,925","2,487",10,"1,509",20,"40,230","13,579", 
63,Luxembourg,"3,945",+15,107 ,+3,"3,702",136,14,"6,315",171,"62,153","99,497", 
64,Bolivia,"3,826",+249,165 ,+1,473,"3,188",3,328,14,"14,803","1,270", 
65,Hungary,"3,509",+36,451 ,+3,"1,396","1,662",47,363,47,"135,137","13,985", 
66,Iraq,"3,404",+144,123 ,+2,"2,218","1,063",,85,3,"149,701","3,733", 
67,Azerbaijan,"3,274",+136,39 ,+3,"2,015","1,220",37,323,4,"232,077","22,915", 
68,Cameroon,"3,105",,140 ,,"1,567","1,398",28,117,5,,, 
69,Thailand,"3,028",+3,56 ,,"2,856",116,61,43,0.8,"286,008","4,099", 
70,Greece,"2,834",+15,163 ,+1,"1,374","1,297",22,272,16,"128,525","12,324", 
71,Uzbekistan,"2,753",+15,12 ,+1,"2,247",494,8,82,0.4,"460,000","13,769", 
72,Guinea,"2,658",,16 ,,"1,133","1,509",18,203,1,"10,304",787, 
73,Honduras,"2,565",+105,138 ,+4,278,"2,149",10,260,14,"5,653",572, 
74,Senegal,"2,480",+51,25 ,,973,"1,482",6,149,1,"24,599","1,474", 
75,Bosnia and Herzegovina,"2,290",+23,133 ,+4,"1,436",721,4,697,41,"49,832","15,178", 
76,Sudan,"2,289",,97 ,,222,"1,970",,52,2,,, 
77,Croatia,"2,226",+2,95 ,,"1,936",195,10,542,23,"53,877","13,114", 
78,Bulgaria,"2,211",+36,108 ,+3,598,"1,505",45,318,16,"65,574","9,429", 
79,Ivory Coast,"2,109",+48,27 ,+2,"1,004","1,078",,80,1,"18,303",696, 
80,Cuba,"1,872",+10,79 ,,"1,495",298,10,165,7,"81,917","7,232", 
81,Iceland,"1,802",,10 ,,"1,786",6,,"5,285",29,"56,875","166,804", 
82,North Macedonia,"1,792",+30,101 ,+3,"1,293",398,21,860,48,"21,436","10,289", 
83,Estonia,"1,774",+4,63 ,,938,773,4,"1,337",47,"69,520","52,411", 
84,Guatemala,"1,763",+120,33 ,+3,138,"1,592",5,99,2,"7,200",403, 
85,Lithuania,"1,541",+7,56 ,+1,997,488,17,565,21,"228,726","83,888", 
86,Tajikistan,"1,524",+202,39 ,+3,,"1,485",,160,4,,, 
87,New Zealand,"1,499",+1,21 ,,"1,433",45,,311,4,"228,148","47,359", 
88,Slovakia,"1,494",+1,28 ,,"1,163",303,3,274,5,"142,462","26,095", 
